side,id,status,amount,date,notes
order,order_QxvbsKzx8DaKAd,AMOUNT_MISMATCH,1299.0,2026-08-09,"Reference matched to setl_D7Y2RMkyI2ED, but amounts disagree: ledger shows ₹1,299.00 while the gateway settled ₹1,099.00 (difference of ₹200.00). Usually a discount, partial refund, or manual correction applied on only one side."
order,order_M3JPAIbXguqngy,AMOUNT_MISMATCH,399.0,2026-08-07,"Reference matched to setl_akgw1kaxThfr, but amounts disagree: ledger shows ₹399.00 while the gateway settled ₹349.00 (difference of ₹50.00). Usually a discount, partial refund, or manual correction applied on only one side."
order,order_q5UGavLrMGcUyx,UNSETTLED_ORDER,1499.0,2026-08-17,"No settlement record found for order_id 'order_q5UGavLrMGcUyx', by exact or fuzzy match. Either the payment hasn't settled yet, or it failed silently on the customer's end."
order,order_yGL8ywfAUtIdFJ,AMOUNT_MISMATCH,3499.0,2026-08-02,"Reference matched to setl_ZlcLOI4CAKvp, but amounts disagree: ledger shows ₹3,499.00 while the gateway settled ₹3,400.00 (difference of ₹99.00). Usually a discount, partial refund, or manual correction applied on only one side."
order,order_8nSZZH4QSynFY5,AMOUNT_MISMATCH,3999.0,2026-08-16,"Reference matched to setl_xt6ks1yHSusR, but amounts disagree: ledger shows ₹3,999.00 while the gateway settled ₹3,799.00 (difference of ₹200.00). Usually a discount, partial refund, or manual correction applied on only one side."
order,order_PyPKWCKu2gAHu5,UNSETTLED_ORDER,1199.0,2026-08-05,"No settlement record found for order_id 'order_PyPKWCKu2gAHu5', by exact or fuzzy match. Either the payment hasn't settled yet, or it failed silently on the customer's end."
order,order_05VdsLMvp4eYtl,UNSETTLED_ORDER,899.0,2026-08-16,"No settlement record found for order_id 'order_05VdsLMvp4eYtl', by exact or fuzzy match. Either the payment hasn't settled yet, or it failed silently on the customer's end."
order,order_wzfnxFYxbALSsk,UNSETTLED_ORDER,1999.0,2026-08-13,"No settlement record found for order_id 'order_wzfnxFYxbALSsk', by exact or fuzzy match. Either the payment hasn't settled yet, or it failed silently on the customer's end."
order,order_H9wzdDcbkinIzW,AMOUNT_MISMATCH,12999.0,2026-08-13,"Reference matched to setl_iFsXz3u3ucem, but amounts disagree: ledger shows ₹12,999.00 while the gateway settled ₹12,650.00 (difference of ₹349.00). Usually a discount, partial refund, or manual correction applied on only one side."
order,order_VZXiWulIruXBeH,UNSETTLED_ORDER,1999.0,2026-08-07,"No settlement record found for order_id 'order_VZXiWulIruXBeH', by exact or fuzzy match. Either the payment hasn't settled yet, or it failed silently on the customer's end."
settlement,setl_D7Y2RMkyI2ED,AMOUNT_MISMATCH,1099.0,2026-08-10,"Reference matched to setl_D7Y2RMkyI2ED, but amounts disagree: ledger shows ₹1,299.00 while the gateway settled ₹1,099.00 (difference of ₹200.00). Usually a discount, partial refund, or manual correction applied on only one side."
settlement,setl_ZlcLOI4CAKvp,AMOUNT_MISMATCH,3400.0,2026-08-04,"Reference matched to setl_ZlcLOI4CAKvp, but amounts disagree: ledger shows ₹3,499.00 while the gateway settled ₹3,400.00 (difference of ₹99.00). Usually a discount, partial refund, or manual correction applied on only one side."
settlement,setl_rSyzsek3j57a,UNIDENTIFIED_SETTLEMENT,499.0,2026-08-17,"Settlement setl_rSyzsek3j57a (order_id 'order_UzWhGdUC7WwyCI') has no matching order in the ledger. Could be a manually-created payment link, a test transaction, or a reference typo on the order side."
settlement,setl_NdnXuDvcuHcE,UNIDENTIFIED_SETTLEMENT,399.0,2026-08-16,"Settlement setl_NdnXuDvcuHcE (order_id 'order_H57mAOrc0miaeK') has no matching order in the ledger. Could be a manually-created payment link, a test transaction, or a reference typo on the order side."
settlement,setl_HIH7od7WkjzT,DUPLICATE_SETTLEMENT,1799.0,2026-08-16,"Extra settlement for order_jzx4ef0RRY4Tyl, which was already matched to setl_6dlEZedTxjI1. Looks like the payment was retried after a false failure — worth checking whether a refund is owed."
settlement,setl_iFsXz3u3ucem,AMOUNT_MISMATCH,12650.0,2026-08-15,"Reference matched to setl_iFsXz3u3ucem, but amounts disagree: ledger shows ₹12,999.00 while the gateway settled ₹12,650.00 (difference of ₹349.00). Usually a discount, partial refund, or manual correction applied on only one side."
settlement,setl_Kf4YG5Wn6GgO,DUPLICATE_SETTLEMENT,799.0,2026-08-18,"Extra settlement for order_Urnu3hhuKnFOGC, which was already matched to setl_etDmiofkWrxi. Looks like the payment was retried after a false failure — worth checking whether a refund is owed."
settlement,setl_akgw1kaxThfr,AMOUNT_MISMATCH,349.0,2026-08-08,"Reference matched to setl_akgw1kaxThfr, but amounts disagree: ledger shows ₹399.00 while the gateway settled ₹349.00 (difference of ₹50.00). Usually a discount, partial refund, or manual correction applied on only one side."
settlement,setl_CCymR4YJHPzP,UNIDENTIFIED_SETTLEMENT,299.0,2026-08-18,"Settlement setl_CCymR4YJHPzP (order_id 'order_tQnpeDN86f7roS') has no matching order in the ledger. Could be a manually-created payment link, a test transaction, or a reference typo on the order side."
settlement,setl_aVxx9WsPHm62,UNIDENTIFIED_SETTLEMENT,2999.0,2026-08-13,"Settlement setl_aVxx9WsPHm62 (order_id 'order_9zXQhFMDI35Pwu') has no matching order in the ledger. Could be a manually-created payment link, a test transaction, or a reference typo on the order side."
settlement,setl_xt6ks1yHSusR,AMOUNT_MISMATCH,3799.0,2026-08-19,"Reference matched to setl_xt6ks1yHSusR, but amounts disagree: ledger shows ₹3,999.00 while the gateway settled ₹3,799.00 (difference of ₹200.00). Usually a discount, partial refund, or manual correction applied on only one side."
settlement,setl_ZPJnXV3QEzhj,DUPLICATE_SETTLEMENT,4999.0,2026-08-15,"Extra settlement for order_tJ1pYqsFrtQwfM, which was already matched to setl_VM2kM588IfDc. Looks like the payment was retried after a false failure — worth checking whether a refund is owed."
